Date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLF,CLP,CNH,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STD,STN,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VES,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPD,XPF,XPT,YER,ZAR,ZMW,ZWL
2020-01-01,3.668479,77.158898,106.434364,,,,59.84529,1.425274,,,1.73407,1.97576,83.342661,1.736387,0.37412,1855.422868,0.99795,1.323857,6.730951,4.013279,0.994386,,,10.446039,,1.972373,1.298458,,0.968898,,741.363515,,6.95045,3242.22449,558.88067,,0.974066,98.266643,22.634703,174.119954,6.662864,52.199447,118.55717,16.017289,,31.716692,0.891186,2.131985,,0.754122,,,5.591124,,,9475.625702,7.531503,,7.790215,24.190357,6.63301,94.223331,294.558417,13686.034756,3.44996,,71.235184,1167.801444,,120.711167,,131.011496,0.701809,108.697977,99.500936,,3988.325283,,,1153.979146,0.302112,0.816059,380.483023,8667.587916,1507.886998,178.366456,,13.844132,1.37314,9.26798,16.943142,3648.694412,54.398004,1457.294359,,7.846894,,,34.987969,15.175385,733.284912,18.920595,4.021745,,13.844132,361.794849,33.309865,8.354247,112.770698,1.484805,0.383388,0.978344,3.247215,3.34079,50.492826,154.55307,3.806078,6341.235184,3.509491,4.263167,104.663577,61.889493,935.290972,3.745655,,12.800107,44.760984,9.168078,1.344711,,,543.17797,,,,,8.542019,,13.870867,29.672935,,,2.770252,,5.943766,6.632118,29.034578,2254.843508,23.447108,3627.127707,1,36.637555,9482.220836,,,22830.407272,,,584.579806,,,,,584.579806,,106.282862,,,13.975671,14.039034,
2020-01-02,3.668479,77.158898,106.434364,,,,59.84529,1.424294,,,1.73407,1.97576,83.342661,1.736387,0.37412,1855.422868,0.99795,1.323857,6.730951,3.999911,0.994386,,,10.446039,,1.972373,1.297121,,0.967472,,741.363515,,6.949559,3242.22449,558.88067,,0.974066,98.266643,22.63898,174.119954,6.657963,52.199447,118.55717,16.017289,,31.716692,0.891186,2.131985,,0.754478,,,5.591124,,,9475.625702,7.531503,,7.79066,24.190357,6.63301,94.223331,294.542376,13686.034756,3.44693,,71.23251,1167.801444,,120.711167,,131.011496,0.701809,108.700651,99.500936,,3988.325283,,,1153.676143,0.302112,0.816059,380.483023,8667.587916,1477.497549,178.366456,,13.844132,1.37314,9.26798,16.943142,3648.694412,53.907851,1457.294359,,7.846894,,,34.987969,15.146333,733.284912,18.904643,4.021745,,13.844132,361.794849,33.309865,8.771143,112.770698,1.484003,0.383388,0.978344,3.247215,3.34079,50.492826,153.533553,3.792354,6341.235184,3.509491,4.263167,104.663577,61.480082,935.290972,3.745566,,12.800107,44.760984,9.341948,1.344889,,,543.17797,,,,,8.542019,,13.870867,29.672935,,,2.770252,,5.946796,6.632118,29.034578,2254.843508,23.447108,3627.127707,1,36.637555,9482.220836,,,22830.407272,,,584.579806,,,,,584.579806,,106.282862,,,13.999822,14.039034,
2020-01-03,3.670576,76.985051,106.44526,,,,59.800645,1.431743,,,1.741832,1.976815,83.388954,1.743353,0.374273,1857.013696,0.998568,1.327186,6.734491,4.021126,0.994987,,,10.463432,,1.973413,1.298272,,0.971354,,742.752663,,6.95542,3246.531197,559.188971,,0.97395,98.706472,22.668875,174.21896,6.688748,52.309552,118.782562,16.016471,,31.807895,0.895175,2.138484,,0.760451,,,5.692239,,,9481.246084,7.535494,,7.787933,24.203742,6.659386,94.278937,294.206427,13884.164354,3.454838,,71.275624,1168.436129,,121.851222,,129.726076,0.702265,108.535494,99.346522,,3995.524035,,,1155.930534,0.302301,0.816489,380.71793,8661.176618,1507.474711,178.54176,,13.834661,1.37114,9.305613,16.952735,3649.816489,54.735476,1452.126041,,7.856862,,,35.001343,15.20589,733.731985,18.840032,4.020947,,13.834661,362.017724,33.329156,8.791872,112.829648,1.492436,0.383582,0.978874,3.245457,3.384478,50.601558,154.071256,3.79411,6344.732074,3.511234,4.282249,105.018351,61.703339,935.950228,3.746665,,12.804583,44.961328,9.363441,1.346701,,,543.371229,,,,,8.546236,,13.857309,30.116373,,,2.770746,,5.953272,6.635843,29.189061,2256.091666,23.460836,3631.277415,1,36.833766,9488.049056,,,22839.495121,,,587.196312,,,,,587.196312,,106.758571,,,14.087638,14.187897,
2020-01-04,3.670576,76.985051,106.44526,,,,59.800645,1.431743,,,1.741832,1.976815,83.388954,1.743353,0.374273,1857.013696,0.998568,1.327186,6.734491,4.021126,0.994987,,,10.463432,,1.973413,1.298272,,0.971354,,742.752663,,6.95542,3246.531197,559.188971,,0.97395,98.706472,22.668875,174.21896,6.688748,52.309552,118.782562,16.016471,,31.807895,0.895175,2.138484,,0.760451,,,5.692239,,,9481.246084,7.535494,,7.787933,24.203742,6.659386,94.278937,294.206427,13884.164354,3.454838,,71.275624,1168.436129,,121.851222,,129.726076,0.702265,108.535494,99.346522,,3995.524035,,,1155.930534,0.302301,0.816489,380.71793,8661.176618,1507.474711,178.54176,,13.834661,1.37114,9.305613,16.952735,3649.816489,54.735476,1452.126041,,7.856862,,,35.001343,15.20589,733.731985,18.840032,4.020947,,13.834661,362.017724,33.329156,8.791872,112.829648,1.492436,0.383582,0.978874,3.245457,3.384478,50.601558,154.071256,3.79411,6344.732074,3.511234,4.282249,105.018351,61.703339,935.950228,3.746665,,12.804583,44.961328,9.363441,1.346701,,,543.371229,,,,,8.546236,,13.857309,30.116373,,,2.770746,,5.953272,6.635843,29.189061,2256.091666,23.460836,3631.277415,1,36.833766,9488.049056,,,22839.495121,,,587.196312,,,,,587.196312,,106.758571,,,14.087638,14.187897,
2020-01-05,3.670576,76.985051,106.44526,,,,59.800645,1.431743,,,1.741832,1.976815,83.388954,1.743353,0.374273,1857.013696,0.998568,1.327186,6.734491,4.021126,0.994987,,,10.463432,,1.973413,1.298272,,0.971354,,742.752663,,6.95542,3246.531197,559.188971,,0.97395,98.706472,22.668875,174.21896,6.688748,52.309552,118.782562,16.016471,,31.807895,0.895175,2.138484,,0.760451,,,5.692239,,,9481.246084,7.535494,,7.787933,24.203742,6.659386,94.278937,294.206427,13884.164354,3.454838,,71.275624,1168.436129,,121.851222,,129.726076,0.702265,108.535494,99.346522,,3995.524035,,,1155.930534,0.302301,0.816489,380.71793,8661.176618,1507.474711,178.54176,,13.834661,1.37114,9.305613,16.952735,3649.816489,54.735476,1452.126041,,7.856862,,,35.001343,15.20589,733.731985,18.840032,4.020947,,13.834661,362.017724,33.329156,8.791872,112.829648,1.492436,0.383582,0.978874,3.245457,3.384478,50.601558,154.071256,3.79411,6344.732074,3.511234,4.282249,105.018351,61.703339,935.950228,3.746665,,12.804583,44.961328,9.363441,1.346701,,,543.371229,,,,,8.546236,,13.857309,30.116373,,,2.770746,,5.953272,6.635843,29.189061,2256.091666,23.460836,3631.277415,1,36.833766,9488.049056,,,22839.495121,,,587.196312,,,,,587.196312,,106.758571,,,14.087638,14.187897,
2020-01-06,3.669235,76.661889,106.871528,,,,59.709192,1.439885,,,1.743236,1.968554,82.924745,1.745655,0.374216,1849.408798,0.994445,1.324583,6.716001,4.061817,0.990862,,,10.532879,,1.96515,1.298692,,0.971331,,743.517291,,6.957355,3200.412113,556.360867,,0.970256,98.78606,22.70534,173.481455,6.694768,52.091919,118.698262,16.010572,,31.689393,0.895897,2.137699,,0.764469,,,5.676223,,,9439.527325,7.50878,,7.780864,24.099624,6.669324,93.888192,295.095861,13931.195126,3.469808,,71.673535,1163.519083,,122.30783,,129.012722,0.701935,107.956459,99.113062,,3978.767336,,,1164.083498,0.302007,0.813026,379.143523,8635.549185,1509.586096,177.747715,,14.091381,1.365436,9.292331,16.931822,3637.134922,54.68554,1440.602043,,7.808816,,,35.092277,15.208206,730.708654,18.9432,4.018545,,14.091381,360.517828,33.190288,8.833453,113.066655,1.502419,0.383533,0.974736,3.21842,3.370274,50.967569,154.432001,3.800753,6344.741086,3.496237,4.27719,105.220391,62.067013,932.099982,3.747357,,12.797886,44.997581,9.408887,1.349848,,,541.032073,,,,,8.510124,,14.118258,30.125426,,,2.767067,,5.967837,6.607956,29.074091,2246.631338,23.330317,3639.132772,1,36.740727,9466.404229,,,22747.715463,,,587.669772,,,,,587.669772,,106.844651,,,14.317058,14.08959,
2020-01-07,3.669941,77.147705,106.706555,,,,59.712984,1.441061,,,1.737632,1.975442,83.327737,1.739954,0.374263,1855.760046,0.997767,1.32738,6.739686,4.057332,0.994195,,,10.523308,,1.971959,1.296035,,0.968298,,754.510627,,6.965172,3210.930613,556.804787,,0.973388,98.468477,22.537864,174.093588,6.673245,52.110198,118.701554,16.048402,,31.809787,0.893017,2.144133,,0.759064,,,5.677889,,,9466.690302,7.535006,,7.768084,24.17396,6.668155,96.764601,294.179318,13886.408287,3.467316,,71.777103,1167.583497,,122.093231,,130.965351,0.70209,108.376496,99.383819,,3980.08564,,,1165.868905,0.302197,0.81586,378.326487,8657.974817,1504.732988,178.285408,,14.0576,1.371406,9.28139,16.965262,3652.098678,54.509734,1445.543847,,7.827826,,,35.122343,15.18923,733.17646,18.839971,4.03447,,14.0576,361.743168,33.304161,8.790141,113.413109,1.499018,0.38364,0.978121,3.246651,3.34015,50.951956,154.449009,3.778175,6371.94124,3.509555,4.261654,104.880336,61.785944,935.434899,3.745937,,12.803179,44.85292,9.39766,1.348098,,,543.043401,,,,,8.539918,,14.081711,30.110734,,,2.779961,,5.967226,6.630916,29.187176,2254.438293,23.473299,3671.548402,1,36.666369,9480.799786,,,22830.862654,,,585.780497,,,,,585.780497,,106.501161,,,14.20459,14.137078,
2020-01-08,3.668579,77.238906,107.225459,,,,59.732407,1.457463,,,1.74433,1.979113,83.485343,1.748005,0.374092,1859.641327,0.999731,1.330166,6.752308,4.062931,0.996145,,,10.55455,,1.975706,1.300134,,0.968714,,760.933214,,6.931062,3209.143882,557.857463,,0.975347,98.84805,22.610758,174.415061,6.698073,52.380099,118.822053,16.042134,,31.912954,0.896459,2.152219,,0.762438,,,5.681219,,,9476.73671,7.54926,,7.774541,24.231286,6.676558,97.383236,297.040789,13859.255939,3.459794,,71.760645,1169.780368,,122.743165,,130.984312,0.701838,108.009861,99.291797,,3992.648857,,,1165.853877,0.302107,0.817391,379.049753,8671.179023,1506.051098,178.572837,,14.090542,1.374272,9.303362,16.870103,3671.58216,54.719857,1447.799193,,7.846347,,,35.07844,15.127835,734.583595,18.970865,4.031107,,14.090542,361.936351,33.367996,8.856656,113.473779,1.507934,0.383416,0.980009,3.261766,3.346481,50.753922,154.279695,3.806365,6404.303003,3.516002,4.280681,105.29359,62.004393,937.346481,3.746392,,12.795159,45.025818,9.467593,1.351143,,,544.060959,,,,,8.555805,,14.117974,30.249216,,,2.79247,,5.973286,6.643478,29.224742,2260.699328,23.518064,3678.529718,1,36.847154,9539.579023,,,22873.151053,,,588.038548,,,,,588.038548,,106.911699,,,14.358942,14.149171,
2020-01-09,3.670746,77.152884,107.738684,,,,59.813282,1.454693,,,1.750922,1.976694,83.384865,1.753262,0.374246,1857.5903,0.99856,1.329704,6.743994,4.06074,0.994961,,,10.531,,1.973275,1.303248,,0.973275,,758.195807,,6.935211,3235.220013,561.090615,,0.974534,99.221632,22.691532,174.201386,6.723657,52.318906,119.069558,16.006479,,31.846486,0.899847,2.152974,,0.76298,,,5.674885,,,9465.851165,7.539998,,7.775578,24.202286,6.701521,97.489427,297.58931,13886.439305,3.462611,,71.435256,1168.35238,,123.207055,,130.550706,0.702241,109.033564,99.343112,,3995.770719,,,1159.722847,0.302799,0.816431,376.010078,8672.545487,1507.243769,178.685323,,14.027895,1.370827,9.319086,16.850625,3665.2929,54.935661,1441.087015,,7.840457,,,35.148025,15.201116,733.751462,18.82525,4.034824,,14.027895,360.019797,33.328534,8.866283,113.17466,1.502655,0.383605,0.978764,3.253757,3.342392,50.442725,154.275173,3.808513,6406.910825,3.511473,4.2956,105.697831,61.281832,936.326824,3.745793,,12.799424,45.195987,9.450913,1.35022,,,543.23765,,,,,8.544947,,14.054891,30.316746,,,2.802124,,5.903536,6.635472,29.171961,2258.975884,23.7035,3664.267165,1,36.792945,9545.847026,,,22846.216143,,,590.260956,,,,,590.260956,,107.315756,,,14.160533,14.128318,
2020-01-10,3.669607,77.103771,107.803078,,,,59.714427,1.458555,,,1.751238,1.973,83.227252,1.753398,0.374224,1854.099631,0.99676,1.328683,6.731077,4.088561,0.99316,,,10.516875,,1.96958,1.306003,,0.97291,,747.847178,,6.919359,3195.211952,559.778598,,0.97201,99.239492,22.706507,173.872739,6.725767,52.220322,119.076591,15.96706,,31.816938,0.900009,2.157412,,0.765008,,,5.669337,,,9445.684097,7.530645,,7.764648,24.160742,6.698767,97.434074,299.225992,13824.138241,3.460985,,71.131311,1166.141661,,123.589236,,131.355414,0.702007,109.489695,99.765998,,3982.720007,,,1157.078571,0.302493,0.814868,373.656737,8659.97624,1507.515075,178.098281,,13.99424,1.369454,9.293673,17.02025,3667.914589,54.945549,1450.373504,,7.817478,,,35.199352,15.191882,733.98524,18.841598,4.0162,,13.99424,358.842588,33.266133,8.876429,112.169022,1.513095,0.383494,0.97696,3.241112,3.336063,50.557106,153.907839,3.820808,6393.123841,3.504725,4.298983,105.753758,61.295923,934.677347,3.745027,,12.795428,45.204122,9.483575,1.350194,,,542.165422,,,,,8.529385,,14.01755,30.232202,,,2.808838,,5.873909,6.610386,29.03213,2254.207452,23.839438,3642.426514,1,36.894069,9528.125461,,,22800.828008,,,590.367204,,,,,590.367204,,107.335073,,,14.207992,13.897129,
